idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,detected_digit,detected_token_text,answer_step,candidate_policy,candidate_set,valid_single_token_candidates,skipped_multitoken_candidates,gt_token_id,gt_token_variant,gt_logprob_token,proxy_bias_value,proxy_bias_token_id,proxy_bias_token_variant,proxy_bias_logprob_token,margin_token,prefers_gt_token,gt_rank_window_token,entropy_token,num_valid_single_token_candidates,num_skipped_multitoken_candidates,generated_matches_proxy,full_hallucination
26,flag_of_uruguay_prompt1,original_images/images/Flag of Uruguay.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,4,4,9,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[7, 8, 9, 10, 11]","[7, 8, 9]","[10, 11]",24,9,-4.462671279907227,7,22,7,-2.6657965183258057,-1.796874761581421,False,3,1.6544089317321777,3,2,False,True
30,flag_of_venezuela_prompt1,original_images/images/Flag of Venezuela.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",8,8,8,8,8,8,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,8,8,0,"GT±2, single-token only","[6, 7, 8, 9, 10]","[6, 7, 8, 9]",[10],23,8,-0.4164721667766571,9,24,9,-1.6508471965789795,1.2343750298023224,True,1,1.012789249420166,4,1,False,False
32,flag_of_zimbabwe_prompt1,original_images/images/Flag of Zimbabwe.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,4,4,7,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[5, 6, 7, 8, 9]","[5, 6, 7, 8, 9]",[],22,7,-2.4024088382720947,5,20,5,-1.7774088382720947,-0.625,False,3,1.922245740890503,5,0,False,True
34,flag_of_the_philippines_prompt1,original_images/images/Flag of the Philippines.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,4,4,3,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",[],18,3,-2.204369068145752,4,19,4,-0.954369068145752,-1.25,False,2,1.848387360572815,5,0,True,False
38,african_elephant_prompt1,original_images/images/african elephant.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,682,448,298,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.00500841299071908,2,17,2,-7.208133220672607,7.203124807681888,True,1,0.041615165770053864,5,0,False,False
40,african_wild_dog_prompt1,original_images/images/african wild dog.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.0038208591286092997,2,17,2,-7.441320896148682,7.437500037020072,True,1,0.03188589587807655,5,0,False,False
42,alpaca_prompt1,original_images/images/alpaca.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,708,448,309,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.0037127865944057703,2,17,2,-6.7068376541137695,6.703124867519364,True,1,0.031820785254240036,5,0,False,False
44,antelope_prompt1,original_images/images/antelope.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,783,448,342,"(1, 1767)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.00389828416518867,2,17,2,-6.7695231437683105,6.765624859603122,True,1,0.03266369551420212,5,0,False,False
46,arctic_fox_prompt1,original_images/images/arctic fox.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,740,448,323,"(1, 1821)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.006317170336842537,2,17,2,-6.381317138671875,6.3749999683350325,True,1,0.05109123885631561,5,0,False,False
48,asian_elephant_prompt1,original_images/images/asian elephant.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,630,448,275,"(1, 1983)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.00587996281683445,2,17,2,-7.130879878997803,7.124999916180968,True,1,0.04823487997055054,5,0,False,False
50,audi_prompt1,original_images/images/audi_black_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,766,448,335,"(1, 1772)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.015017312951385975,3,18,3,-6.554080009460449,6.539062696509063,True,1,0.10654572397470474,5,0,False,False
52,audi_prompt1,original_images/images/audi_black_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,829,448,362,"(1, 1718)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.022903431206941605,3,18,3,-5.0854034423828125,5.062500011175871,True,1,0.14852599799633026,5,0,False,False
54,audi_prompt1,original_images/images/audi_black_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,712,448,311,"(1, 1826)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.020204683765769005,3,18,3,-5.176454544067383,5.156249860301614,True,1,0.13752411305904388,5,0,False,False
56,audi_prompt1,original_images/images/audi_black_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.022642647847533226,3,18,3,-5.538267612457275,5.515624964609742,True,1,0.14942431449890137,5,0,False,False
58,audi_prompt1,original_images/images/audi_black_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.027184735983610153,3,18,3,-4.839684963226318,4.812500227242708,True,1,0.17246851325035095,5,0,False,False
60,audi_prompt1,original_images/images/audi_gray_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,679,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.06141204759478569,3,18,3,-4.0301618576049805,3.968749810010195,True,1,0.34934359788894653,5,0,False,False
62,audi_prompt1,original_images/images/audi_gray_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1772)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.02897702530026436,3,18,3,-4.653976917266846,4.624999891966581,True,1,0.17956241965293884,5,0,False,False
64,audi_prompt1,original_images/images/audi_gray_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.013485877774655819,3,18,3,-5.716610908508301,5.703125030733645,True,1,0.09871009737253189,5,0,False,False
66,audi_prompt1,original_images/images/audi_gray_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1772)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.015206361189484596,3,18,3,-5.624581336975098,5.609374975785613,True,1,0.10871775448322296,5,0,False,False
68,audi_prompt1,original_images/images/audi_gray_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,678,448,296,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.03293433412909508,3,18,3,-4.626684188842773,4.593749854713678,True,1,0.2048400193452835,5,0,False,False
70,audi_prompt1,original_images/images/audi_white_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1772)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.011353881098330021,3,18,3,-6.417603969573975,6.406250088475645,True,1,0.08582133799791336,5,0,False,False
72,audi_prompt1,original_images/images/audi_white_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,834,448,364,"(1, 1718)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.02048899419605732,3,18,3,-5.87986421585083,5.859375221654773,True,1,0.1403665989637375,5,0,False,False
74,audi_prompt1,original_images/images/audi_white_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,608,448,266,"(1, 2042)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.07746957987546921,3,18,3,-4.436844348907471,4.3593747690320015,True,1,0.41310355067253113,5,0,False,False
76,audi_prompt1,original_images/images/audi_white_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,679,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.022595681250095367,3,18,3,-5.8975958824157715,5.875000201165676,True,1,0.15833823382854462,5,0,False,False
78,audi_prompt1,original_images/images/audi_white_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,642,448,280,"(1, 1988)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.08326555043458939,3,18,3,-3.114515542984009,3.0312499925494194,True,1,0.39343658089637756,5,0,False,False
80,avocet_prompt1,original_images/images/avocet.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2,2,2,2,2,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3,2,2,0,"GT±2, single-token only","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",[],17,2,-0.012322602793574333,1,16,1,-5.090447425842285,5.078124823048711,True,1,0.08390247076749802,5,0,False,False
82,bactrian_camel_prompt1,original_images/images/bactrian camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.006167308893054724,2,17,2,-6.115542411804199,6.1093751029111445,True,1,0.049014415591955185,5,0,False,False
84,bighorn_sheep_prompt1,original_images/images/bighorn sheep.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.01033561211079359,2,17,2,-6.713460445404053,6.703124833293259,True,1,0.07450736314058304,5,0,False,False
86,bison_prompt1,original_images/images/bison.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,688,448,301,"(1, 1875)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.014238785021007061,2,17,2,-6.2798638343811035,6.2656250493600965,True,1,0.09598119556903839,5,0,False,False
88,bobcat_prompt1,original_images/images/bobcat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,631,448,276,"(1, 1983)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.011523236520588398,2,17,2,-5.980273246765137,5.968750010244548,True,1,0.08366303145885468,5,0,False,False
90,buffalo_prompt1,original_images/images/buffalo.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,720,448,315,"(1, 1821)","(1, 3, 3, 384, 384)",3,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.015232543461024761,2,17,2,-6.171482563018799,6.156250019557774,True,1,0.10075872391462326,5,0,False,False
