idx,ID,image_path,topic,sub_topic,question_type,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_raw,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,expected_bias,proxy_bias_value,proxy_bias_definition,candidate_policy,candidate_set,num_candidates_attempted,num_candidates_scored,answer_step,detected_digit,detected_token_text,gold_seq_logprob,gold_avg_logprob,gold_char_logprob,gold_entropy_step1,gold_entropy_mean,gold_n_tokens,gold_span_mode,bias_seq_logprob,bias_avg_logprob,bias_char_logprob,bias_entropy_step1,bias_entropy_mean,bias_n_tokens,bias_span_mode,seq_margin,avg_margin,char_margin,gt_rank_seq,prefers_gold,prefers_gt_seq,entropy_candidates,entropy_step1,entropy_mean,generated_matches_proxy,full_hallucination,same_length,length_matched,relative_change,gt_minus_bias,direction,gold_uncond_avg_lp,bias_uncond_avg_lp,gold_uncond_char_lp,bias_uncond_char_lp,gold_pmi,bias_pmi,pmi_margin,prefers_gold_pmi,gold_char_pmi,bias_char_pmi,char_pmi_margin,prefers_gold_char_pmi
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,5,5,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0,4,4,-3.406939744949341,-3.406939744949341,-3.406939744949341,0.24512143433094025,0.24512143433094025,1,exact,-4.860064506530762,-4.860064506530762,-4.860064506530762,0.24512143433094025,0.24512143433094025,1,exact,1.453124761581421,1.453124761581421,1.453124761581421,1,True,True,0.6691133975982666,1.3880200386047363,1.3880200386047363,False,False,True,True,0.2,-1.0,GT<proxy,-7.884028911590576,-8.374752044677734,-7.884028911590576,-8.374752044677734,4.477089166641235,3.5146875381469727,0.9624016284942627,True,4.477089166641235,3.5146875381469727,0.9624016284942627,True
22,flag_of_singapore_prompt1,original_images/images/Flag of Singapore.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,5,5,5,5,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,0,5,5,-2.081045150756836,-2.081045150756836,-2.081045150756836,0.4486798346042633,0.4486798346042633,1,exact,-5.596670150756836,-5.596670150756836,-5.596670150756836,0.4486798346042633,0.4486798346042633,1,exact,3.515625,3.515625,3.515625,1,True,True,0.2456158995628357,0.8518570065498352,0.8518570065498352,False,False,True,True,0.25,1.0,GT>proxy,-8.374752044677734,-7.884028911590576,-8.374752044677734,-7.884028911590576,6.293706893920898,2.2873587608337402,4.006348133087158,True,6.293706893920898,2.2873587608337402,4.006348133087158,True
24,flag_of_thailand_prompt1,original_images/images/Flag of Thailand.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,3,3,5,3,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,0,3,3,-4.110342025756836,-4.110342025756836,-4.110342025756836,1.1084109544754028,1.1084109544754028,1,exact,-1.2197167873382568,-1.2197167873382568,-1.2197167873382568,1.1084109544754028,1.1084109544754028,1,exact,-2.890625238418579,-2.890625238418579,-2.890625238418579,4,False,False,0.8664658665657043,0.9850739240646362,0.9850739240646362,True,False,True,True,0.6666666666666666,2.0,GT>proxy,-8.374752044677734,-7.756099224090576,-8.374752044677734,-7.756099224090576,4.264410018920898,6.536382436752319,-2.271972417831421,False,4.264410018920898,6.536382436752319,-2.271972417831421,False
26,flag_of_uruguay_prompt1,original_images/images/Flag of Uruguay.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,9,4,4,9,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[7, 8, 9, 10, 11]",5,5,0,4,4,-6.777190208435059,-6.777190208435059,-6.777190208435059,0.5807912945747375,0.5807912945747375,1,exact,-7.8914318680763245,-3.9457159340381622,-3.9457159340381622,0.5807912945747375,1.0047712624073029,2,exact,1.1142416596412659,-2.8314742743968964,-2.8314742743968964,5,False,False,1.2969087362289429,1.6544089317321777,1.6544089317321777,False,True,False,False,0.1,-1.0,GT<proxy,-8.516353607177734,-4.563411712646484,-8.516353607177734,-4.563411712646484,1.7391633987426758,0.6176957786083221,1.1214676201343536,True,1.7391633987426758,0.6176957786083221,1.1214676201343536,True
28,flag_of_uzbekistan_prompt1,original_images/images/Flag of Uzbekistan.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12,12,9,9,12,9,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,11,11,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[10, 11, 12, 13, 14]",5,5,0,9,9,-5.077539443969727,-2.5387697219848633,-2.5387697219848633,1.0110267400741577,1.1547058820724487,2,exact,-4.015039443969727,-2.0075197219848633,-2.0075197219848633,1.0110267400741577,1.1547058820724487,2,exact,-1.0625,-0.53125,-0.53125,3,False,False,1.4093166589736938,1.3692381381988525,1.3692381381988525,False,True,True,True,0.09090909090909091,1.0,GT>proxy,-4.778255462646484,-4.942317962646484,-4.778255462646484,-4.942317962646484,2.239485740661621,2.934798240661621,-0.6953125,False,2.239485740661621,2.934798240661621,-0.6953125,False
30,flag_of_venezuela_prompt1,original_images/images/Flag of Venezuela.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",8,8,8,8,8,8,8,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,9,9,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[6, 7, 8, 9, 10]",5,5,0,8,8,-2.236544132232666,-2.236544132232666,-2.236544132232666,0.6112788319587708,0.6112788319587708,1,exact,-3.674044132232666,-3.674044132232666,-3.674044132232666,0.6112788319587708,0.6112788319587708,1,exact,1.4375,1.4375,1.4375,1,True,True,1.1480927467346191,1.012789249420166,1.012789249420166,False,False,True,True,0.1111111111111111,-1.0,GT<proxy,-8.521724700927734,-8.516353607177734,-8.521724700927734,-8.516353607177734,6.285180568695068,4.842309474945068,1.44287109375,True,6.285180568695068,4.842309474945068,1.44287109375,True
32,flag_of_zimbabwe_prompt1,original_images/images/Flag of Zimbabwe.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,7,4,4,7,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,6,6,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[5, 6, 7, 8, 9]",5,5,0,4,4,-4.639195919036865,-4.639195919036865,-4.639195919036865,0.7287116050720215,0.7287116050720215,1,exact,-3.5454459190368652,-3.5454459190368652,-3.5454459190368652,0.7287116050720215,0.7287116050720215,1,exact,-1.09375,-1.09375,-1.09375,3,False,False,1.3751859664916992,1.922245740890503,1.922245740890503,False,True,True,True,0.16666666666666666,1.0,GT>proxy,-8.745601654052734,-8.309810638427734,-8.745601654052734,-8.309810638427734,4.106405735015869,4.764364719390869,-0.657958984375,False,4.106405735015869,4.764364719390869,-0.657958984375,False
34,flag_of_the_philippines_prompt1,original_images/images/Flag of the Philippines.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,4,4,3,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[1, 2, 3, 4, 5]",5,5,0,4,4,-5.063971519470215,-5.063971519470215,-5.063971519470215,0.37150052189826965,0.37150052189826965,1,exact,-4.282721519470215,-4.282721519470215,-4.282721519470215,0.37150052189826965,0.37150052189826965,1,exact,-0.78125,-0.78125,-0.78125,2,False,False,1.333138346672058,1.848387360572815,1.848387360572815,True,False,True,True,0.25,-1.0,GT<proxy,-7.756099224090576,-7.884028911590576,-7.756099224090576,-7.884028911590576,2.6921277046203613,3.6013073921203613,-0.9091796875,False,2.6921277046203613,3.6013073921203613,-0.9091796875,False
36,flag_of_the_united_states_prompt1,original_images/images/Flag of the United States.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",50,50,50,50,50,50,50,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,48,48,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[48, 49, 50, 51, 52]",5,5,0,5,5,-1.7475745785050094,-0.8737872892525047,-0.8737872892525047,0.6499938368797302,0.32842351915314794,2,exact,-6.545229986310005,-3.2726149931550026,-3.2726149931550026,0.6499938368797302,0.5843631029129028,2,exact,4.797655407804996,2.398827703902498,2.398827703902498,1,True,True,0.5066249370574951,0.3271278440952301,0.3271278440952301,False,True,True,True,0.041666666666666664,2.0,GT>proxy,-5.605022668838501,-6.021161317825317,-5.605022668838501,-6.021161317825317,4.731235379585996,2.748546324670315,1.9826890549156815,True,4.731235379585996,2.748546324670315,1.9826890549156815,True
38,african_elephant_prompt1,original_images/images/african elephant.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,682,448,298,"(1, 1875)","(1, 3, 3, 384, 384)",3,2,2,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0,4,4,-0.06343289464712143,-0.06343289464712143,-0.06343289464712143,0.25604337453842163,0.25604337453842163,1,exact,-6.750932693481445,-6.750932693481445,-6.750932693481445,0.25604337453842163,0.25604337453842163,1,exact,6.687499798834324,6.687499798834324,6.687499798834324,1,True,True,0.01925256848335266,0.041615165770053864,0.041615165770053864,False,False,True,True,1.0,2.0,GT>proxy,-7.884028911590576,-7.261958599090576,-7.884028911590576,-7.261958599090576,7.820596016943455,0.5110259056091309,7.309570111334324,True,7.820596016943455,0.5110259056091309,7.309570111334324,True
40,african_wild_dog_prompt1,original_images/images/african wild dog.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3,2,2,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0,4,4,-0.1989290565252304,-0.1989290565252304,-0.1989290565252304,0.4954341650009155,0.4954341650009155,1,exact,-6.8551788330078125,-6.8551788330078125,-6.8551788330078125,0.4954341650009155,0.4954341650009155,1,exact,6.656249776482582,6.656249776482582,6.656249776482582,1,True,True,0.015911592170596123,0.03188589587807655,0.03188589587807655,False,False,True,True,1.0,2.0,GT>proxy,-7.884028911590576,-7.261958599090576,-7.884028911590576,-7.261958599090576,7.685099855065346,0.40677976608276367,7.278320088982582,True,7.685099855065346,0.40677976608276367,7.278320088982582,True
42,alpaca_prompt1,original_images/images/alpaca.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,708,448,309,"(1, 1875)","(1, 3, 3, 384, 384)",3,2,2,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0,4,4,-0.013330499641597271,-0.013330499641597271,-0.013330499641597271,0.08538984507322311,0.08538984507322311,1,exact,-6.528955459594727,-6.528955459594727,-6.528955459594727,0.08538984507322311,0.08538984507322311,1,exact,6.515624959953129,6.515624959953129,6.515624959953129,1,True,True,0.016902901232242584,0.031820785254240036,0.031820785254240036,False,False,True,True,1.0,2.0,GT>proxy,-7.884028911590576,-7.261958599090576,-7.884028911590576,-7.261958599090576,7.870698411948979,0.7330031394958496,7.137695272453129,True,7.870698411948979,0.7330031394958496,7.137695272453129,True
44,antelope_prompt1,original_images/images/antelope.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,783,448,342,"(1, 1767)","(1, 3, 3, 384, 384)",3,2,2,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0,4,4,-0.06783303618431091,-0.06783303618431091,-0.06783303618431091,0.26414477825164795,0.26414477825164795,1,exact,-6.145957946777344,-6.145957946777344,-6.145957946777344,0.26414477825164795,0.26414477825164795,1,exact,6.078124910593033,6.078124910593033,6.078124910593033,1,True,True,0.02078387513756752,0.03266369551420212,0.03266369551420212,False,False,True,True,1.0,2.0,GT>proxy,-7.884028911590576,-7.261958599090576,-7.884028911590576,-7.261958599090576,7.816195875406265,1.1160006523132324,6.700195223093033,True,7.816195875406265,1.1160006523132324,6.700195223093033,True
