idx,ID,image_path,topic,sub_topic,question_type,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_raw,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,expected_bias,proxy_bias_value,proxy_bias_definition,candidate_policy,candidate_set,num_candidates_attempted,num_candidates_scored,answer_step,detected_digit,detected_token_text,gold_seq_logprob,gold_avg_logprob,gold_char_logprob,gold_entropy_step1,gold_entropy_mean,gold_n_tokens,gold_span_mode,bias_seq_logprob,bias_avg_logprob,bias_char_logprob,bias_entropy_step1,bias_entropy_mean,bias_n_tokens,bias_span_mode,seq_margin,avg_margin,char_margin,gt_rank_seq,prefers_gold,prefers_gt_seq,entropy_candidates,entropy_step1,entropy_mean,generated_matches_proxy,full_hallucination,same_length,length_matched,relative_change,gt_minus_bias,direction,gold_uncond_avg_lp,bias_uncond_avg_lp,gold_uncond_char_lp,bias_uncond_char_lp,gold_pmi,bias_pmi,pmi_margin,prefers_gold_pmi,gold_char_pmi,bias_char_pmi,char_pmi_margin,prefers_gold_char_pmi
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-10.901442527770996,-10.901442527770996,-10.901442527770996,0.026505736634135246,0.026505736634135246,1,exact,-13.698317527770996,-13.698317527770996,-13.698317527770996,0.026505736634135246,0.026505736634135246,1,exact,2.796875,2.796875,2.796875,1,True,True,0.3544560372829437,0.07353821396827698,0.038465327699668705,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,-2.3024959564208984,-5.208745956420898,2.90625,True,-2.3024959564208984,-5.208745956420898,2.90625,True
22,flag_of_singapore_prompt1,original_images/images/Flag of Singapore.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{5},5,5,5,True,True,,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1,5,5,-10.154186248779297,-10.154186248779297,-10.154186248779297,0.046246305108070374,0.046246305108070374,1,exact,-12.466686248779297,-12.466686248779297,-12.466686248779297,0.046246305108070374,0.046246305108070374,1,exact,2.3125,2.3125,2.3125,1,True,True,0.5540872812271118,0.020176008343696594,0.014922554139047861,False,False,True,True,0.25,1.0,GT>proxy,-8.611641883850098,-8.598946571350098,-8.611641883850098,-8.598946571350098,-1.5425443649291992,-3.867739677429199,2.3251953125,True,-1.5425443649291992,-3.867739677429199,2.3251953125,True
24,flag_of_thailand_prompt1,original_images/images/Flag of Thailand.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{4},4,5,4,False,False,,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1,4,4,-13.086669921875,-13.086669921875,-13.086669921875,0.007869101129472256,0.007869101129472256,1,exact,-10.563232421875,-10.563232421875,-10.563232421875,0.007869101129472256,0.007869101129472256,1,exact,-2.5234375,-2.5234375,-2.5234375,2,False,False,0.3303687572479248,0.292915403842926,0.1481772956904024,True,False,True,True,0.25,1.0,GT>proxy,-8.611641883850098,-8.598946571350098,-8.611641883850098,-8.598946571350098,-4.475028038024902,-1.9642858505249023,-2.5107421875,False,-4.475028038024902,-1.9642858505249023,-2.5107421875,False
26,flag_of_uruguay_prompt1,original_images/images/Flag of Uruguay.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,9,{5},5,9,5,False,False,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[7, 8, 9, 10, 11]",5,5,1,5,5,-16.969562530517578,-16.969562530517578,-16.969562530517578,0.008612539619207382,0.008612539619207382,1,exact,-17.98605179786682,-8.99302589893341,-8.99302589893341,0.008612539619207382,1.0901463758200407,2,exact,1.0164892673492432,-7.9765366315841675,-7.9765366315841675,5,False,False,0.6995763778686523,0.6138274669647217,0.3086691846838221,False,True,False,False,0.1,-1.0,GT<proxy,-9.283516883850098,-4.646657347679138,-9.283516883850098,-4.646657347679138,-7.6860456466674805,-4.3463685512542725,-3.339677095413208,False,-7.6860456466674805,-4.3463685512542725,-3.339677095413208,False
28,flag_of_uzbekistan_prompt1,original_images/images/Flag of Uzbekistan.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12,12,{8},8,12,8,False,False,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[10, 11, 12, 13, 14]",5,5,1,8,8,-12.970334224402905,-6.485167112201452,-6.485167112201452,0.023637281730771065,0.25692828837782145,2,exact,-15.57970929145813,-7.789854645729065,-7.789854645729065,0.023637281730771065,0.25692828837782145,2,exact,2.6093750670552254,1.3046875335276127,1.3046875335276127,1,True,True,1.0220520496368408,1.2342793941497803,0.6226684926077724,False,True,True,True,0.2,2.0,GT>proxy,-4.765797972679138,-4.646657347679138,-4.765797972679138,-4.646657347679138,-1.719369139522314,-3.1431972980499268,1.4238281585276127,True,-1.719369139522314,-3.1431972980499268,1.4238281585276127,True
30,flag_of_venezuela_prompt1,original_images/images/Flag of Venezuela.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",8,8,8,{21,{21,8,21,False,False,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[6, 7, 8, 9, 10]",5,5,1,2,2,-13.783740043640137,-13.783740043640137,-13.783740043640137,0.02188728377223015,0.02188728377223015,1,exact,-15.53293752670288,-7.76646876335144,-7.76646876335144,0.02188728377223015,1.0858987476676702,2,exact,1.7491974830627441,-6.017271280288696,-6.017271280288696,2,False,False,0.0427573025226593,0.9452837705612183,0.474536792258732,False,True,False,False,0.2,-2.0,GT<proxy,-9.105782508850098,-4.646657347679138,-9.105782508850098,-4.646657347679138,-4.677957534790039,-3.1198114156723022,-1.5581461191177368,False,-4.677957534790039,-3.1198114156723022,-1.5581461191177368,False
32,flag_of_zimbabwe_prompt1,original_images/images/Flag of Zimbabwe.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,7,{7},7,7,7,True,True,,6,6,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[5, 6, 7, 8, 9]",5,5,1,7,7,-12.57145881652832,-12.57145881652832,-12.57145881652832,0.011818638071417809,0.011818638071417809,1,exact,-11.90739631652832,-11.90739631652832,-11.90739631652832,0.011818638071417809,0.011818638071417809,1,exact,-0.6640625,-0.6640625,-0.6640625,2,False,False,1.0492104291915894,1.584206461906433,0.7974138637073338,False,False,True,True,0.16666666666666666,1.0,GT>proxy,-9.025704383850098,-8.889962196350098,-9.025704383850098,-8.889962196350098,-3.5457544326782227,-3.0174341201782227,-0.5283203125,False,-3.5457544326782227,-3.0174341201782227,-0.5283203125,False
34,flag_of_the_philippines_prompt1,original_images/images/Flag of the Philippines.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,{3},3,3,3,True,True,,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[1, 2, 3, 4, 5]",5,5,1,3,3,-10.481120109558105,-10.481120109558105,-10.481120109558105,0.037448763847351074,0.037448763847351074,1,exact,-12.801432609558105,-12.801432609558105,-12.801432609558105,0.037448763847351074,0.037448763847351074,1,exact,2.3203125,2.3203125,2.3203125,1,True,True,0.5356414914131165,0.42021000385284424,0.21299995528534055,False,False,True,True,0.25,-1.0,GT<proxy,-8.489571571350098,-8.598946571350098,-8.489571571350098,-8.598946571350098,-1.9915485382080078,-4.202486038208008,2.2109375,True,-1.9915485382080078,-4.202486038208008,2.2109375,True
36,flag_of_the_united_states_prompt1,original_images/images/Flag of the United States.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",50,50,50,{50,{50,50,50,False,True,,48,48,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[48, 49, 50, 51, 52]",5,5,1,5,5,-13.322111083194613,-6.661055541597307,-6.661055541597307,0.023195214569568634,0.04080297611653805,2,exact,-16.39967632293701,-8.199838161468506,-8.199838161468506,0.023195214569568634,0.7661029435694218,2,exact,3.0775652397423983,1.5387826198711991,1.5387826198711991,1,True,True,0.9131783246994019,0.10003180056810379,0.054916329216212034,False,True,True,True,0.041666666666666664,2.0,GT>proxy,-5.342953562736511,-5.73076593875885,-5.342953562736511,-5.73076593875885,-1.3181019788607955,-2.4690722227096558,1.1509702438488603,True,-1.3181019788607955,-2.4690722227096558,1.1509702438488603,True
38,african_elephant_prompt1,original_images/images/african elephant.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-7.938321590423584,-7.938321590423584,-7.938321590423584,0.008001260459423065,0.008001260459423065,1,exact,-16.469572067260742,-16.469572067260742,-16.469572067260742,0.008001260459423065,0.008001260459423065,1,exact,8.531250476837158,8.531250476837158,8.531250476837158,1,True,True,0.003117042826488614,0.0005605975165963173,0.014221887569874525,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,0.6606249809265137,-7.9800004959106445,8.640625476837158,True,0.6606249809265137,-7.9800004959106445,8.640625476837158,True
40,african_wild_dog_prompt1,original_images/images/african wild dog.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,6,6,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-8.36032485961914,-8.36032485961914,-8.36032485961914,0.009031151421368122,0.009031151421368122,1,exact,-16.84469985961914,-16.84469985961914,-16.84469985961914,0.009031151421368122,0.009031151421368122,1,exact,8.484375,8.484375,8.484375,1,True,True,0.0042951167561113834,0.0012581947958096862,0.06298564019380137,False,False,True,True,0.3333333333333333,-2.0,GT<proxy,-8.598946571350098,-8.889962196350098,-8.598946571350098,-8.889962196350098,0.23862171173095703,-7.954737663269043,8.193359375,True,0.23862171173095703,-7.954737663269043,8.193359375,True
42,alpaca_prompt1,original_images/images/alpaca.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-8.406964302062988,-8.406964302062988,-8.406964302062988,0.007162029854953289,0.007162029854953289,1,exact,-16.203838348388672,-16.203838348388672,-16.203838348388672,0.007162029854953289,0.007162029854953289,1,exact,7.796874046325684,7.796874046325684,7.796874046325684,1,True,True,0.004920247942209244,0.00023414939641952515,0.02220117673277855,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,0.19198226928710938,-7.714266777038574,7.906249046325684,True,0.19198226928710938,-7.714266777038574,7.906249046325684,True
44,antelope_prompt1,original_images/images/antelope.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-8.469583511352539,-8.469583511352539,-8.469583511352539,0.007976533845067024,0.007976533845067024,1,exact,-16.54770851135254,-16.54770851135254,-16.54770851135254,0.007976533845067024,0.007976533845067024,1,exact,8.078125,8.078125,8.078125,1,True,True,0.004726366139948368,0.0003918186412192881,0.0231413618021179,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,0.1293630599975586,-8.058136940002441,8.1875,True,0.1293630599975586,-8.058136940002441,8.1875,True
46,arctic_fox_prompt1,original_images/images/arctic fox.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-8.376246452331543,-8.376246452331543,-8.376246452331543,0.011436482891440392,0.011436482891440392,1,exact,-16.43874740600586,-16.43874740600586,-16.43874740600586,0.011436482891440392,0.011436482891440392,1,exact,8.062500953674316,8.062500953674316,8.062500953674316,1,True,True,0.004550617188215256,0.0011202648747712374,0.05284145625773817,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,0.2227001190185547,-7.949175834655762,8.171875953674316,True,0.2227001190185547,-7.949175834655762,8.171875953674316,True
48,asian_elephant_prompt1,original_images/images/asian elephant.png,Animals,animal,Counting/Illusion,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-8.047871589660645,-8.047871589660645,-8.047871589660645,0.009562784805893898,0.009562784805893898,1,exact,-16.579120635986328,-16.579120635986328,-16.579120635986328,0.009562784805893898,0.009562784805893898,1,exact,8.531249046325684,8.531249046325684,8.531249046325684,1,True,True,0.003567107254639268,0.0010209946194663644,0.01687680959003046,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,0.5510749816894531,-8.08954906463623,8.640624046325684,True,0.5510749816894531,-8.08954906463623,8.640624046325684,True
50,audi_prompt1,original_images/images/audi_black_convertible_0.png,Logos,cars,Counting/Illusion,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,4,4,-10.268310546875,-10.268310546875,-10.268310546875,0.02330414578318596,0.02330414578318596,1,exact,-12.322998046875,-12.322998046875,-12.322998046875,0.02330414578318596,0.02330414578318596,1,exact,2.0546875,2.0546875,2.0546875,1,True,True,0.41650456190109253,0.05332466959953308,0.031473633367568254,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-8.598946571350098,-8.489571571350098,-8.598946571350098,-8.489571571350098,-1.6693639755249023,-3.8334264755249023,2.1640625,True,-1.6693639755249023,-3.8334264755249023,2.1640625,True
